"Part";"Value";"Device";"Package";"Description";"MPN";"VALUE";
"BEAM";"YELLOW-0603";"SMD-LED-CLEAR-YELLOW(0603)";"LED-0603";"304090044";"19-217-Y5C-AM1N1VY-3T";"YELLOW-0603";
"J1";"ST-PJ-312";"AUDIO-JACK-6P-SMD(ST-PJ-312)";"AUDIO6P-SMD-3.5-14.0X6.4X5.0MM";"320040007";"ST-PJ-312";"ST-PJ-312";
"J2";"4P-SMD-2.0-90D";"GROVE-CONNECTOR-SMD-90D(4+2P-2.0)";"HW4-SMD-2.0-90D";"320110032";"";"4P-SMD-2.0-90D";
"PWR";"RED-0603";"LED-SMD-RED-DIFFUSED(0603)";"LED-0603";"304090042";"19-217-R6C-AL1M2VY-3T";"RED-0603";
"Q1";"BSS138W-7-F";"SMD-MOSFET-N-CH-50V-200MA-BSS138W-7-F(SOT-23)";"SOT-23";"305030000";"BSS138W-7-F";"BSS138W-7-F";
"R1";"2K";"SMD-RES-2K-5%-1/10W(0603)";"R0603";"301010113";"RC0603JR-072KL";"2K";
"R2";"2K";"SMD-RES-2K-5%-1/10W(0603)";"R0603";"301010113";"RC0603JR-072KL";"2K";
"R3";"22K";"SMD-RES-22K-5%-1/10W(0603)";"R0603";"301010132";"RC0603JR-0722KL";"22K";
"R4";"10K";"DIP-VR-TOP-ADJ-10K(3P-9.5X9.5X5MM)";"ADJR3-9.5X9.5X10.5MM";"301040007";"3386U-103";"10K";
"SW1";"";"DIP-TOGGLE-SWITCH-2CH-(2X3P-2.54-90D)'90D'";"SW6-2.54-9.0X3.5X3.2MM-90D";"311030004";"";"";
